Geneid	Chr	Start	End	Strand
all_samples_summits_54	chr1	13304847	13305347	.
all_samples_summits_55	chr1	13363677	13364177	.
all_samples_summits_56	chr1	13364353	13364853	.
all_samples_summits_57	chr1	13372316	13372816	.
all_samples_summits_58	chr1	13372888	13373388	.
all_samples_summits_59	chr1	13373869	13374369	.
all_samples_summits_60	chr1	13426348	13426848	.
all_samples_summits_61	chr1	13561501	13562001	.
all_samples_summits_62	chr1	13588888	13589388	.
all_samples_summits_63	chr1	13589597	13590097	.
all_samples_summits_64	chr1	13599255	13599755	.
all_samples_summits_65	chr1	13615821	13616321	.
all_samples_summits_66	chr1	13639465	13639965	.
all_samples_summits_67	chr1	13643039	13643539	.
all_samples_summits_68	chr1	13659709	13660209	.
all_samples_summits_69	chr1	13660338	13660838	.
all_samples_summits_70	chr1	13660878	13661378	.
all_samples_summits_71	chr1	13752453	13752953	.
all_samples_summits_72	chr1	13873873	13874373	.
all_samples_summits_73	chr1	14001345	14001845	.
all_samples_summits_74	chr1	14002502	14003002	.
all_samples_summits_75	chr1	14010688	14011188	.
all_samples_summits_76	chr1	14139644	14140144	.
all_samples_summits_77	chr1	14181659	14182159	.
all_samples_summits_78	chr1	14223330	14223830	.
all_samples_summits_79	chr1	14304482	14304982	.
all_samples_summits_80	chr1	14305039	14305539	.
all_samples_summits_81	chr1	14309546	14310046	.
all_samples_summits_82	chr1	14709385	14709885	.
all_samples_summits_83	chr1	14709980	14710480	.
all_samples_summits_84	chr1	14710792	14711292	.
all_samples_summits_85	chr1	15455781	15456281	.
all_samples_summits_86	chr1	15791823	15792323	.
all_samples_summits_87	chr1	15805346	15805846	.
all_samples_summits_88	chr1	15806056	15806556	.
all_samples_summits_89	chr1	16103939	16104439	.
all_samples_summits_90	chr1	16104515	16105015	.
all_samples_summits_91	chr1	16105560	16106060	.
all_samples_summits_92	chr1	16110627	16111127	.
all_samples_summits_93	chr1	16111675	16112175	.
all_samples_summits_94	chr1	16113536	16114036	.
all_samples_summits_95	chr1	16172302	16172802	.
all_samples_summits_96	chr1	16207028	16207528	.
all_samples_summits_97	chr1	16228169	16228669	.
all_samples_summits_98	chr1	16234784	16235284	.
all_samples_summits_99	chr1	16241014	16241514	.
all_samples_summits_100	chr1	16304823	16305323	.
all_samples_summits_101	chr1	16408217	16408717	.
all_samples_summits_102	chr1	16519009	16519509	.
all_samples_summits_103	chr1	16519519	16520019	.
all_samples_summits_104	chr1	16618572	16619072	.
all_samples_summits_105	chr1	16619095	16619595	.
all_samples_summits_106	chr1	16656866	16657366	.
all_samples_summits_107	chr1	16664951	16665451	.
all_samples_summits_108	chr1	16688133	16688633	.
all_samples_summits_109	chr1	17097617	17098117	.
all_samples_summits_110	chr1	19321537	19322037	.
all_samples_summits_111	chr1	19849918	19850418	.
all_samples_summits_112	chr1	19874038	19874538	.
all_samples_summits_113	chr1	20069658	20070158	.
all_samples_summits_114	chr1	20617842	20618342	.
all_samples_summits_115	chr1	20619301	20619801	.
all_samples_summits_116	chr1	20634778	20635278	.
all_samples_summits_117	chr1	20820140	20820640	.
all_samples_summits_118	chr1	20834710	20835210	.
all_samples_summits_119	chr1	20836647	20837147	.
all_samples_summits_120	chr1	20846066	20846566	.
all_samples_summits_121	chr1	20847909	20848409	.
all_samples_summits_122	chr1	20856838	20857338	.
all_samples_summits_123	chr1	20862731	20863231	.
all_samples_summits_124	chr1	20863724	20864224	.
all_samples_summits_125	chr1	20870843	20871343	.
all_samples_summits_126	chr1	20872478	20872978	.
all_samples_summits_127	chr1	20875334	20875834	.
all_samples_summits_128	chr1	20879306	20879806	.
all_samples_summits_129	chr1	20890316	20890816	.
all_samples_summits_130	chr1	20890863	20891363	.
all_samples_summits_131	chr1	20893432	20893932	.
all_samples_summits_132	chr1	20938997	20939497	.
all_samples_summits_133	chr1	20940071	20940571	.
all_samples_summits_134	chr1	20951401	20951901	.
all_samples_summits_135	chr1	21002215	21002715	.
all_samples_summits_136	chr1	21008786	21009286	.
all_samples_summits_137	chr1	21010226	21010726	.
all_samples_summits_138	chr1	21014441	21014941	.
all_samples_summits_139	chr1	21036374	21036874	.
all_samples_summits_140	chr1	21079035	21079535	.
all_samples_summits_141	chr1	21101166	21101666	.
all_samples_summits_142	chr1	21166192	21166692	.
all_samples_summits_143	chr1	21218348	21218848	.
all_samples_summits_144	chr1	21232008	21232508	.
all_samples_summits_145	chr1	21271321	21271821	.
all_samples_summits_146	chr1	21613910	21614410	.
all_samples_summits_147	chr1	21622954	21623454	.
all_samples_summits_148	chr1	22800196	22800696	.
all_samples_summits_149	chr1	22801539	22802039	.
all_samples_summits_150	chr1	22805804	22806304	.
all_samples_summits_151	chr1	23058518	23059018	.
all_samples_summits_152	chr1	23061884	23062384	.
all_samples_summits_153	chr1	23189761	23190261	.
all_samples_summits_154	chr1	23190266	23190766	.
all_samples_summits_155	chr1	23191005	23191505	.
all_samples_summits_156	chr1	23197207	23197707	.
all_samples_summits_157	chr1	23200395	23200895	.
all_samples_summits_158	chr1	23202813	23203313	.
all_samples_summits_159	chr1	23214431	23214931	.
all_samples_summits_160	chr1	23228428	23228928	.
all_samples_summits_161	chr1	23255847	23256347	.
all_samples_summits_162	chr1	23256640	23257140	.
all_samples_summits_163	chr1	23268049	23268549	.
all_samples_summits_164	chr1	23270839	23271339	.
all_samples_summits_165	chr1	23271369	23271869	.
all_samples_summits_166	chr1	23279658	23280158	.
all_samples_summits_167	chr1	23286677	23287177	.
all_samples_summits_168	chr1	23382635	23383135	.
all_samples_summits_169	chr1	23383136	23383636	.
all_samples_summits_170	chr1	23762724	23763224	.
all_samples_summits_171	chr1	23763689	23764189	.
all_samples_summits_172	chr1	23892021	23892521	.
all_samples_summits_173	chr1	23893789	23894289	.
all_samples_summits_174	chr1	23922121	23922621	.
all_samples_summits_175	chr1	24005458	24005958	.
all_samples_summits_176	chr1	24007524	24008024	.
all_samples_summits_177	chr1	24047070	24047570	.
all_samples_summits_178	chr1	24100116	24100616	.
all_samples_summits_179	chr1	24102443	24102943	.
all_samples_summits_180	chr1	24107314	24107814	.
all_samples_summits_181	chr1	24107885	24108385	.
all_samples_summits_182	chr1	24137114	24137614	.
all_samples_summits_183	chr1	24186871	24187371	.
all_samples_summits_184	chr1	24677599	24678099	.
all_samples_summits_185	chr1	24678390	24678890	.
all_samples_summits_186	chr1	24679026	24679526	.
all_samples_summits_187	chr1	24699303	24699803	.
all_samples_summits_188	chr1	25057669	25058169	.
all_samples_summits_189	chr1	25063920	25064420	.
all_samples_summits_190	chr1	30700329	30700829	.
all_samples_summits_191	chr1	30706016	30706516	.
all_samples_summits_192	chr1	30718541	30719041	.
all_samples_summits_193	chr1	30720353	30720853	.
all_samples_summits_194	chr1	30740799	30741299	.
all_samples_summits_195	chr1	30872736	30873236	.
all_samples_summits_196	chr1	30873394	30873894	.
all_samples_summits_197	chr1	30873980	30874480	.
all_samples_summits_198	chr1	30945124	30945624	.
all_samples_summits_199	chr1	30949074	30949574	.
all_samples_summits_200	chr1	30949880	30950380	.
all_samples_summits_201	chr1	31019298	31019798	.
all_samples_summits_202	chr1	31023083	31023583	.
all_samples_summits_203	chr1	31033768	31034268	.
all_samples_summits_204	chr1	31050258	31050758	.
all_samples_summits_205	chr1	31051201	31051701	.
all_samples_summits_206	chr1	31093918	31094418	.
all_samples_summits_207	chr1	31094604	31095104	.
all_samples_summits_208	chr1	31133692	31134192	.
all_samples_summits_209	chr1	31149726	31150226	.
all_samples_summits_210	chr1	31152989	31153489	.
all_samples_summits_211	chr1	31153872	31154372	.
all_samples_summits_212	chr1	31156840	31157340	.
all_samples_summits_213	chr1	33370849	33371349	.
all_samples_summits_214	chr1	33375402	33375902	.
all_samples_summits_215	chr1	33383997	33384497	.
all_samples_summits_216	chr1	33398090	33398590	.
all_samples_summits_217	chr1	33487464	33487964	.
all_samples_summits_218	chr1	33488364	33488864	.
all_samples_summits_219	chr1	33584143	33584643	.
all_samples_summits_220	chr1	33591935	33592435	.
all_samples_summits_221	chr1	33657533	33658033	.
all_samples_summits_222	chr1	33669557	33670057	.
all_samples_summits_223	chr1	33670185	33670685	.
all_samples_summits_224	chr1	33719678	33720178	.
all_samples_summits_225	chr1	33733007	33733507	.
all_samples_summits_226	chr1	33739275	33739775	.
all_samples_summits_227	chr1	33753651	33754151	.
all_samples_summits_228	chr1	33756187	33756687	.
all_samples_summits_229	chr1	33756745	33757245	.
all_samples_summits_230	chr1	33757533	33758033	.
all_samples_summits_231	chr1	33813738	33814238	.
all_samples_summits_232	chr1	33814269	33814769	.
all_samples_summits_233	chr1	33989653	33990153	.
all_samples_summits_234	chr1	34005616	34006116	.
all_samples_summits_235	chr1	34010940	34011440	.
all_samples_summits_236	chr1	34061070	34061570	.
all_samples_summits_237	chr1	34109763	34110263	.
all_samples_summits_238	chr1	34120546	34121046	.
all_samples_summits_239	chr1	34121198	34121698	.
all_samples_summits_240	chr1	34123218	34123718	.
all_samples_summits_241	chr1	34140039	34140539	.
all_samples_summits_242	chr1	34144789	34145289	.
all_samples_summits_243	chr1	34147938	34148438	.
all_samples_summits_244	chr1	34185999	34186499	.
all_samples_summits_245	chr1	34218280	34218780	.
all_samples_summits_246	chr1	34236306	34236806	.
all_samples_summits_247	chr1	34433084	34433584	.
all_samples_summits_248	chr1	34434114	34434614	.
all_samples_summits_249	chr1	34434665	34435165	.
all_samples_summits_250	chr1	34438906	34439406	.
all_samples_summits_251	chr1	34439543	34440043	.
all_samples_summits_252	chr1	34459488	34459988	.
all_samples_summits_253	chr1	34472957	34473457	.
all_samples_summits_254	chr1	34485767	34486267	.
all_samples_summits_255	chr1	34579397	34579897	.
all_samples_summits_256	chr1	34602300	34602800	.
all_samples_summits_257	chr1	34738304	34738804	.
all_samples_summits_258	chr1	34801456	34801956	.
all_samples_summits_259	chr1	34815802	34816302	.
all_samples_summits_260	chr1	34819188	34819688	.
all_samples_summits_261	chr1	34823266	34823766	.
all_samples_summits_262	chr1	34824097	34824597	.
all_samples_summits_263	chr1	34842821	34843321	.
all_samples_summits_264	chr1	34849719	34850219	.
all_samples_summits_265	chr1	34851481	34851981	.
all_samples_summits_266	chr1	34864166	34864666	.
all_samples_summits_267	chr1	34867163	34867663	.
all_samples_summits_268	chr1	34896848	34897348	.
all_samples_summits_269	chr1	35094819	35095319	.
all_samples_summits_270	chr1	35330134	35330634	.
all_samples_summits_271	chr1	35385367	35385867	.
all_samples_summits_272	chr1	35903963	35904463	.
all_samples_summits_273	chr1	35930972	35931472	.
all_samples_summits_274	chr1	36012024	36012524	.
all_samples_summits_275	chr1	36013663	36014163	.
all_samples_summits_276	chr1	36017042	36017542	.
all_samples_summits_277	chr1	36059932	36060432	.
all_samples_summits_278	chr1	36060461	36060961	.
all_samples_summits_279	chr1	36064835	36065335	.
all_samples_summits_280	chr1	36068104	36068604	.
all_samples_summits_281	chr1	36068729	36069229	.
all_samples_summits_282	chr1	36069404	36069904	.
all_samples_summits_283	chr1	36071149	36071649	.
all_samples_summits_284	chr1	36073129	36073629	.
all_samples_summits_285	chr1	36078199	36078699	.
all_samples_summits_286	chr1	36079334	36079834	.
all_samples_summits_287	chr1	36116490	36116990	.
all_samples_summits_288	chr1	36234980	36235480	.
all_samples_summits_289	chr1	36244073	36244573	.
all_samples_summits_290	chr1	36252766	36253266	.
all_samples_summits_291	chr1	36254933	36255433	.
all_samples_summits_292	chr1	36259232	36259732	.
all_samples_summits_293	chr1	36264961	36265461	.
all_samples_summits_294	chr1	36272466	36272966	.
all_samples_summits_295	chr1	36273263	36273763	.
all_samples_summits_296	chr1	36274301	36274801	.
all_samples_summits_297	chr1	36277204	36277704	.
all_samples_summits_298	chr1	36279126	36279626	.
all_samples_summits_299	chr1	36280871	36281371	.
all_samples_summits_300	chr1	36302333	36302833	.
all_samples_summits_301	chr1	36303292	36303792	.
all_samples_summits_302	chr1	36307436	36307936	.
all_samples_summits_303	chr1	36323094	36323594	.
all_samples_summits_304	chr1	36323958	36324458	.
all_samples_summits_305	chr1	36325779	36326279	.
all_samples_summits_306	chr1	36368918	36369418	.
all_samples_summits_307	chr1	36372386	36372886	.
all_samples_summits_308	chr1	36432949	36433449	.
all_samples_summits_309	chr1	36436707	36437207	.
all_samples_summits_310	chr1	36445080	36445580	.
all_samples_summits_311	chr1	36457287	36457787	.
all_samples_summits_312	chr1	36471372	36471872	.
all_samples_summits_313	chr1	36485036	36485536	.
all_samples_summits_314	chr1	36492347	36492847	.
all_samples_summits_315	chr1	36497690	36498190	.
all_samples_summits_316	chr1	36501217	36501717	.
all_samples_summits_317	chr1	36511552	36512052	.
all_samples_summits_318	chr1	36512451	36512951	.
all_samples_summits_319	chr1	36533475	36533975	.
all_samples_summits_320	chr1	36534555	36535055	.
all_samples_summits_321	chr1	36535944	36536444	.
all_samples_summits_322	chr1	36539122	36539622	.
all_samples_summits_323	chr1	36547051	36547551	.
all_samples_summits_324	chr1	36556979	36557479	.
all_samples_summits_325	chr1	36557604	36558104	.
all_samples_summits_326	chr1	36558246	36558746	.
all_samples_summits_327	chr1	36570459	36570959	.
all_samples_summits_328	chr1	36579972	36580472	.
all_samples_summits_329	chr1	36593050	36593550	.
all_samples_summits_330	chr1	36603293	36603793	.
all_samples_summits_331	chr1	36634898	36635398	.
all_samples_summits_332	chr1	36684051	36684551	.
all_samples_summits_333	chr1	36691257	36691757	.
all_samples_summits_334	chr1	36708572	36709072	.
all_samples_summits_335	chr1	36709159	36709659	.
all_samples_summits_336	chr1	36709763	36710263	.
all_samples_summits_337	chr1	36744569	36745069	.
all_samples_summits_338	chr1	36784609	36785109	.
all_samples_summits_339	chr1	36871185	36871685	.
all_samples_summits_340	chr1	36874812	36875312	.
all_samples_summits_341	chr1	36883797	36884297	.
all_samples_summits_342	chr1	36888970	36889470	.
all_samples_summits_343	chr1	36903960	36904460	.
all_samples_summits_344	chr1	36904468	36904968	.
all_samples_summits_345	chr1	36920278	36920778	.
all_samples_summits_346	chr1	36938890	36939390	.
all_samples_summits_347	chr1	36939692	36940192	.
all_samples_summits_348	chr1	37041063	37041563	.
all_samples_summits_349	chr1	37057102	37057602	.
all_samples_summits_350	chr1	37077231	37077731	.
all_samples_summits_351	chr1	37231127	37231627	.
all_samples_summits_352	chr1	37299488	37299988	.
all_samples_summits_353	chr1	37300601	37301101	.
all_samples_summits_354	chr1	37336766	37337266	.
all_samples_summits_355	chr1	37401643	37402143	.
all_samples_summits_356	chr1	37429367	37429867	.
all_samples_summits_357	chr1	37429887	37430387	.
all_samples_summits_358	chr1	37430388	37430888	.
all_samples_summits_359	chr1	37478990	37479490	.
all_samples_summits_360	chr1	37540878	37541378	.
all_samples_summits_361	chr1	37639097	37639597	.
all_samples_summits_362	chr1	37665515	37666015	.
all_samples_summits_363	chr1	37666574	37667074	.
all_samples_summits_364	chr1	37678343	37678843	.
all_samples_summits_365	chr1	37687087	37687587	.
all_samples_summits_366	chr1	37691125	37691625	.
all_samples_summits_367	chr1	37696889	37697389	.
all_samples_summits_368	chr1	37709658	37710158	.
all_samples_summits_369	chr1	37711599	37712099	.
all_samples_summits_370	chr1	37712296	37712796	.
all_samples_summits_371	chr1	37718701	37719201	.
all_samples_summits_372	chr1	37719676	37720176	.
all_samples_summits_373	chr1	37864740	37865240	.
all_samples_summits_374	chr1	37871618	37872118	.
all_samples_summits_375	chr1	37890161	37890661	.
all_samples_summits_376	chr1	37931742	37932242	.
all_samples_summits_377	chr1	37971498	37971998	.
all_samples_summits_378	chr1	37997071	37997571	.
all_samples_summits_379	chr1	37997824	37998324	.
all_samples_summits_380	chr1	38048870	38049370	.
all_samples_summits_381	chr1	38109710	38110210	.
all_samples_summits_382	chr1	38129442	38129942	.
all_samples_summits_383	chr1	38973189	38973689	.
all_samples_summits_384	chr1	38987407	38987907	.
all_samples_summits_385	chr1	38988119	38988619	.
all_samples_summits_386	chr1	39010646	39011146	.
all_samples_summits_387	chr1	39105455	39105955	.
all_samples_summits_388	chr1	39186673	39187173	.
all_samples_summits_389	chr1	39191098	39191598	.
all_samples_summits_390	chr1	39192668	39193168	.
all_samples_summits_391	chr1	39194193	39194693	.
all_samples_summits_392	chr1	39196077	39196577	.
all_samples_summits_393	chr1	39196671	39197171	.
all_samples_summits_394	chr1	39206884	39207384	.
all_samples_summits_395	chr1	39256443	39256943	.
all_samples_summits_396	chr1	39281750	39282250	.
all_samples_summits_397	chr1	39340598	39341098	.
all_samples_summits_398	chr1	39367563	39368063	.
all_samples_summits_399	chr1	39368085	39368585	.
all_samples_summits_400	chr1	39392194	39392694	.
all_samples_summits_401	chr1	39393136	39393636	.
all_samples_summits_402	chr1	39394149	39394649	.
all_samples_summits_403	chr1	39399181	39399681	.
all_samples_summits_404	chr1	39410030	39410530	.
all_samples_summits_405	chr1	39417722	39418222	.
all_samples_summits_406	chr1	39425410	39425910	.
all_samples_summits_407	chr1	39428272	39428772	.
all_samples_summits_408	chr1	39456539	39457039	.
all_samples_summits_409	chr1	39457201	39457701	.
all_samples_summits_410	chr1	39458091	39458591	.
all_samples_summits_411	chr1	39476875	39477375	.
all_samples_summits_412	chr1	39477929	39478429	.
all_samples_summits_413	chr1	39478534	39479034	.
all_samples_summits_414	chr1	39527386	39527886	.
all_samples_summits_415	chr1	39530184	39530684	.
all_samples_summits_416	chr1	39535460	39535960	.
all_samples_summits_417	chr1	39552502	39553002	.
all_samples_summits_418	chr1	39576515	39577015	.
all_samples_summits_419	chr1	39577273	39577773	.
all_samples_summits_420	chr1	39759384	39759884	.
all_samples_summits_421	chr1	39761333	39761833	.
all_samples_summits_422	chr1	39761919	39762419	.
all_samples_summits_423	chr1	39895031	39895531	.
all_samples_summits_424	chr1	39900529	39901029	.
all_samples_summits_425	chr1	39901344	39901844	.
all_samples_summits_426	chr1	39902634	39903134	.
all_samples_summits_427	chr1	39909980	39910480	.
all_samples_summits_428	chr1	39932297	39932797	.
all_samples_summits_429	chr1	39936385	39936885	.
all_samples_summits_430	chr1	39939322	39939822	.
all_samples_summits_431	chr1	39941192	39941692	.
all_samples_summits_432	chr1	40116368	40116868	.
all_samples_summits_433	chr1	40139851	40140351	.
all_samples_summits_434	chr1	40171940	40172440	.
all_samples_summits_435	chr1	40174088	40174588	.
all_samples_summits_436	chr1	40175442	40175942	.
all_samples_summits_437	chr1	40183301	40183801	.
all_samples_summits_438	chr1	40188068	40188568	.
all_samples_summits_439	chr1	40190889	40191389	.
all_samples_summits_440	chr1	40221859	40222359	.
all_samples_summits_441	chr1	40224797	40225297	.
all_samples_summits_442	chr1	40234489	40234989	.
all_samples_summits_443	chr1	40255071	40255571	.
all_samples_summits_444	chr1	40266347	40266847	.
all_samples_summits_445	chr1	40266934	40267434	.
all_samples_summits_446	chr1	40275202	40275702	.
all_samples_summits_447	chr1	40279281	40279781	.
all_samples_summits_448	chr1	40324306	40324806	.
all_samples_summits_449	chr1	40380012	40380512	.
all_samples_summits_450	chr1	40465370	40465870	.
all_samples_summits_451	chr1	40467235	40467735	.
all_samples_summits_452	chr1	40468785	40469285	.
all_samples_summits_453	chr1	40499662	40500162	.
all_samples_summits_454	chr1	40501528	40502028	.
all_samples_summits_455	chr1	40529498	40529998	.
all_samples_summits_456	chr1	40542446	40542946	.
all_samples_summits_457	chr1	40614515	40615015	.
all_samples_summits_458	chr1	40616888	40617388	.
all_samples_summits_459	chr1	40619736	40620236	.
all_samples_summits_460	chr1	40681050	40681550	.
all_samples_summits_461	chr1	40790440	40790940	.
all_samples_summits_462	chr1	40847485	40847985	.
all_samples_summits_463	chr1	41705625	41706125	.
all_samples_summits_464	chr1	42850941	42851441	.
all_samples_summits_465	chr1	42894668	42895168	.
all_samples_summits_466	chr1	43051915	43052415	.
all_samples_summits_467	chr1	43065862	43066362	.
all_samples_summits_468	chr1	43066390	43066890	.
all_samples_summits_469	chr1	43070682	43071182	.
all_samples_summits_470	chr1	43092243	43092743	.
all_samples_summits_471	chr1	43098443	43098943	.
all_samples_summits_472	chr1	43108686	43109186	.
all_samples_summits_473	chr1	43128164	43128664	.
all_samples_summits_474	chr1	43139544	43140044	.
all_samples_summits_475	chr1	43163723	43164223	.
all_samples_summits_476	chr1	43168559	43169059	.
all_samples_summits_477	chr1	43224141	43224641	.
all_samples_summits_478	chr1	43444502	43445002	.
all_samples_summits_479	chr1	43445473	43445973	.
all_samples_summits_480	chr1	43445993	43446493	.
all_samples_summits_481	chr1	43446821	43447321	.
all_samples_summits_482	chr1	43450734	43451234	.
all_samples_summits_483	chr1	43471357	43471857	.
all_samples_summits_484	chr1	43472108	43472608	.
all_samples_summits_485	chr1	43474464	43474964	.
all_samples_summits_486	chr1	43819029	43819529	.
all_samples_summits_487	chr1	43826532	43827032	.
all_samples_summits_488	chr1	43827091	43827591	.
all_samples_summits_489	chr1	43827623	43828123	.
all_samples_summits_490	chr1	43898925	43899425	.
all_samples_summits_491	chr1	43933669	43934169	.
all_samples_summits_492	chr1	43935286	43935786	.
all_samples_summits_493	chr1	43936009	43936509	.
all_samples_summits_494	chr1	44101404	44101904	.
all_samples_summits_495	chr1	44102198	44102698	.
all_samples_summits_496	chr1	44118136	44118636	.
all_samples_summits_497	chr1	44118639	44119139	.
all_samples_summits_498	chr1	44119159	44119659	.
all_samples_summits_499	chr1	44119705	44120205	.
all_samples_summits_500	chr1	44147589	44148089	.
all_samples_summits_501	chr1	45794697	45795197	.
all_samples_summits_502	chr1	45795212	45795712	.
all_samples_summits_503	chr1	45800436	45800936	.
all_samples_summits_504	chr1	45830424	45830924	.
all_samples_summits_505	chr1	45866229	45866729	.
all_samples_summits_506	chr1	45925407	45925907	.
all_samples_summits_507	chr1	45971142	45971642	.
all_samples_summits_508	chr1	45985848	45986348	.
all_samples_summits_509	chr1	46378642	46379142	.
all_samples_summits_510	chr1	46407973	46408473	.
all_samples_summits_511	chr1	46408626	46409126	.
all_samples_summits_512	chr1	46849701	46850201	.
all_samples_summits_513	chr1	46852148	46852648	.
all_samples_summits_514	chr1	46852760	46853260	.
all_samples_summits_515	chr1	46853310	46853810	.
all_samples_summits_516	chr1	46853891	46854391	.
all_samples_summits_517	chr1	46856448	46856948	.
all_samples_summits_518	chr1	46863388	46863888	.
all_samples_summits_519	chr1	46864129	46864629	.
all_samples_summits_520	chr1	46884577	46885077	.
all_samples_summits_521	chr1	46885391	46885891	.
all_samples_summits_522	chr1	46886115	46886615	.
all_samples_summits_523	chr1	46887889	46888389	.
all_samples_summits_524	chr1	47216643	47217143	.
all_samples_summits_525	chr1	51243197	51243697	.
all_samples_summits_526	chr1	51250241	51250741	.
all_samples_summits_527	chr1	51265022	51265522	.
all_samples_summits_528	chr1	51265839	51266339	.
all_samples_summits_529	chr1	51288137	51288637	.
all_samples_summits_530	chr1	51288700	51289200	.
all_samples_summits_531	chr1	51289469	51289969	.
all_samples_summits_532	chr1	51333897	51334397	.
all_samples_summits_533	chr1	51477744	51478244	.
all_samples_summits_534	chr1	51478289	51478789	.
all_samples_summits_535	chr1	51505554	51506054	.
all_samples_summits_536	chr1	51509003	51509503	.
all_samples_summits_537	chr1	51530095	51530595	.
all_samples_summits_538	chr1	51537676	51538176	.
all_samples_summits_539	chr1	51596919	51597419	.
all_samples_summits_540	chr1	51615444	51615944	.
all_samples_summits_541	chr1	51643598	51644098	.
all_samples_summits_542	chr1	51671323	51671823	.
all_samples_summits_543	chr1	51747445	51747945	.
all_samples_summits_544	chr1	51748259	51748759	.
all_samples_summits_545	chr1	51782047	51782547	.
all_samples_summits_546	chr1	51819860	51820360	.
all_samples_summits_547	chr1	51820455	51820955	.
all_samples_summits_548	chr1	51829199	51829699	.
all_samples_summits_549	chr1	51830838	51831338	.
all_samples_summits_550	chr1	51838145	51838645	.
all_samples_summits_551	chr1	51848602	51849102	.
all_samples_summits_552	chr1	51849495	51849995	.
all_samples_summits_553	chr1	51852287	51852787	.
all_samples_summits_554	chr1	51853380	51853880	.
all_samples_summits_555	chr1	51856481	51856981	.
all_samples_summits_556	chr1	51872740	51873240	.
all_samples_summits_557	chr1	51878385	51878885	.
all_samples_summits_558	chr1	51882684	51883184	.
all_samples_summits_559	chr1	51885557	51886057	.
all_samples_summits_560	chr1	51913008	51913508	.
all_samples_summits_561	chr1	51913990	51914490	.
all_samples_summits_562	chr1	51914921	51915421	.
all_samples_summits_563	chr1	51915710	51916210	.
all_samples_summits_564	chr1	51944695	51945195	.
all_samples_summits_565	chr1	51963017	51963517	.
all_samples_summits_566	chr1	51975497	51975997	.
all_samples_summits_567	chr1	51996587	51997087	.
all_samples_summits_568	chr1	51997200	51997700	.
all_samples_summits_569	chr1	51998142	51998642	.
all_samples_summits_570	chr1	52055648	52056148	.
all_samples_summits_571	chr1	52057083	52057583	.
all_samples_summits_572	chr1	52066472	52066972	.
all_samples_summits_573	chr1	52088570	52089070	.
all_samples_summits_574	chr1	52113551	52114051	.
all_samples_summits_575	chr1	52119215	52119715	.
all_samples_summits_576	chr1	52170021	52170521	.
all_samples_summits_577	chr1	52228177	52228677	.
all_samples_summits_578	chr1	52232208	52232708	.
all_samples_summits_579	chr1	52233080	52233580	.
all_samples_summits_580	chr1	52234561	52235061	.
all_samples_summits_581	chr1	52250913	52251413	.
